11;1689059328; 1725300739; 2870870021; 1409155112; 290455561;196;0;3166;10
4;1638400; 4031381508; 581173253; 3695181863; 290455562;196;0;3158;11
5;3922657280; 4077453315; 718864390; 3562799142; 290455563;196;0;60882;12
10;1302790144; 1550254083; 3205955589; 1074331688; 290455561;196;0;63774;9
6;20250624; 4153540612; 293273605; 3982622759; 290455562;198;0;6756;11
9;3624468480; 150798339; 2445213702; 1833762855; 290455562;196;0;14768;11
3;1530134528; 2581135361; 3253469184; 1013448750; 290455555;198;0;7788;1
7;459735040; 2597191682; 2262761475; 2020016171; 290455558;196;0;46171;6
2;1341194240; 2422996993; 3814653952; 467009582; 3187933187;198;0;3258;1
8;2164391936; 2384855043; 1786118149; 2725576744; 290455561;198;0;21704;10
